vault_address,vault_symbol,vault_name,asset_address,asset_symbol,asset_name,total_aum_usd_m,event_count
0x0022228a2cc5e7ef0274a7baa600d44da5ab5776,stUSD,Staked USDA,0x0000206329b97DB379d5E1Bf586BbDB969C63274,USDA,USDA,0,277
0x3835a58ca93cdb5f912519ad366826ac9a752510,FraxlendV1 - CRV/FRAX,FraxlendV1 - Curve DAO Token/Frax - Variable Time-Weighted Interest Rate - 6,0x853d955aCEf822Db058eb8505911ED77F175b99e,FRAX,Frax,0,277
0x38ca226e5ac5c96fd9b1f1abcad65613e2108d3e,KuniETH,Karak - Universal ETH,0xF1376bceF0f78459C0Ed0ba5ddce976F1ddF51F4,uniETH,Universal ETH,0,275
0xa0d3707c569ff8c87fa923d3823ec5d81c98be78,iETHv2,Instadapp ETH v2,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,stETH,Liquid staked Ether 2.0,0,274
0x7c22725d1e0871f0043397c9761ad99a86ffd498,KmETH,Karak - mETH,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,mETH,mETH,0,261
0x989ab830c6e2bdf3f28214ff54c9b7415c349a3f,KETHx,Karak - ETHx,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,ETHx,ETHx,0,242
0x0d53bc2ba508dfdf47084d511f13bb2eb3f8317b,ultraETHs,Affine ultraETHs,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,215
0x9ba021b0a9b958b5e75ce9f6dff97c7ee52cb3e6,apxETH,Autocompounding Pirex Ether,0x04C154b66CB340F3Ae24111CC767e0184Ed00Cc6,pxETH,Pirex Ether,0,212
0x36c2aa2830276b65b12e065aefacaade83ef4b29,K-PT-weETH-27JUN2024,Karak - PT ether.fi weETH 27JUN2024,0xc69Ad9baB1dEE23F4605a82b3354F8E40d1E5966,PT-weETH-27JUN2024,PT ether.fi weETH 27JUN2024,0,208
0xa92b60b8efe9ac06ed65980a6d43e3f488a7f7bb,KUSDT,Karak - Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,206
0x05a811275fe9b4de503b3311f51edf6a856d936e,dUSDTV3,Universal USDT v3,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,206
0x547213367cfb08ab418e7b54d7883b2c2aa27fd7,sUSDz,Staked USDz,0xA469B7Ee9ee773642b3e93E842e5D9b5BaA10067,USDz,USDz,0,188
0x2b95a1dcc3d405535f9ed33c219ab38e8d7e0884,aCRV,Aladdin cvxCRV,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,cvxCRV,Convex CRV,0,174
0x06470d528296bdcf5126de1cd342d1fa191103dc,xBITS,BitSwapVault,0x42496acd2c7b52CE90Ed65adA6CafB0e893e2474,BITS,BitSwap,0,166
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,yvUSDC-1,USDC-1 yVault,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,164
0x38989bba00bdf8181f4082995b3deae96163ac5d,bbETH,Flagship ETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,162
0x8eb67a509616cd6a7c1b3c8c21d48ff57df3d458,gtUSDCcore,Gauntlet USDC Core,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,158
